30
aa
ab
ac
ad
ae
af
ag
ah
ai
aj
ak
al
am
an
ao
ap
aq
ar
as
at
au
av
aw
ax
ay
az
ba
bb
bc
bd
407
ab aa 268435483 0 0 0 0 0
ac ab 1 0 0 0 0 0
ad ab 3 0 0 0 0 0
ad ac 1 0 0 0 0 0
ae ab 6 0 0 0 0 0
ae ac 4 0 0 0 0 0
ae ad 1 0 0 0 0 0
af ab 11 0 0 0 0 0
af ac 9 0 0 0 0 0
af ad 6 0 0 0 0 0
af ae 1 0 0 0 0 0
ag ab 20 0 0 0 0 0
ag ac 18 0 0 0 0 0
ag ad 15 0 0 0 0 0
ag ae 10 0 0 0 0 0
ag af 1 0 0 0 0 0
ah ab 37 0 0 0 0 0
ah ac 35 0 0 0 0 0
ah ad 32 0 0 0 0 0
ah ae 27 0 0 0 0 0
ah af 18 0 0 0 0 0
ah ag 1 0 0 0 0 0
ai ab 70 0 0 0 0 0
ai ac 68 0 0 0 0 0
ai ad 65 0 0 0 0 0
ai ae 60 0 0 0 0 0
ai af 51 0 0 0 0 0
ai ag 34 0 0 0 0 0
ai ah 1 0 0 0 0 0
aj ab 135 0 0 0 0 0
aj ac 133 0 0 0 0 0
aj ad 130 0 0 0 0 0
aj ae 125 0 0 0 0 0
aj af 116 0 0 0 0 0
aj ag 99 0 0 0 0 0
aj ah 66 0 0 0 0 0
aj ai 1 0 0 0 0 0
ak ab 264 0 0 0 0 0
ak ac 262 0 0 0 0 0
ak ad 259 0 0 0 0 0
ak ae 254 0 0 0 0 0
ak af 245 0 0 0 0 0
ak ag 228 0 0 0 0 0
ak ah 195 0 0 0 0 0
ak ai 130 0 0 0 0 0
ak aj 1 0 0 0 0 0
al ab 521 0 0 0 0 0
al ac 519 0 0 0 0 0
al ad 516 0 0 0 0 0
al ae 511 0 0 0 0 0
al af 502 0 0 0 0 0
al ag 485 0 0 0 0 0
al ah 452 0 0 0 0 0
al ai 387 0 0 0 0 0
al aj 258 0 0 0 0 0
al ak 1 0 0 0 0 0
am ab 1034 0 0 0 0 0
am ac 1032 0 0 0 0 0
am ad 1029 0 0 0 0 0
am ae 1024 0 0 0 0 0
am af 1015 0 0 0 0 0
am ag 998 0 0 0 0 0
am ah 965 0 0 0 0 0
am ai 900 0 0 0 0 0
am aj 771 0 0 0 0 0
am ak 514 0 0 0 0 0
am al 1 0 0 0 0 0
an ab 2059 0 0 0 0 0
an ac 2057 0 0 0 0 0
an ad 2054 0 0 0 0 0
an ae 2049 0 0 0 0 0
